"Incident, Date","Total, Number, of, Dead, and, Missing","Number, of, Survivors","Number, of, Females","Number, of, Males","Number, of, Children","Region, of, Origin","Cause, of, Death","Migration, route","Location, of, death",Coordinates
2014-07-06,200,0,1,,2,"Western, Asia",Drowning,"Central, Mediterranean","Off, the, coast, of, Tripoli, (capsized, boat)","13, 32.9615"
2014-07-07,1,,,1,,"Latin, America, /, Caribbean, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Coatzacoalcos,, Veracruz,, Mexico","-95, 18.130861"
2014-07-07,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112, 32.316"
2014-07-10,1,,,,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Barrosa, Pasture,, King, Ranch,, Brooks, County,, Texas,, USA","-97.709747, 26.92635612"
2014-07-11,25,13,1,2,1,Unknown,Drowning,"Eastern, Mediterranean","Aegean, Sea","26.921962, 37.862031"
2014-07-12,1,,,,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Singer, Ranch,, Brooks, County,, Texas,, USA","-98.18627898, 26.99857326"
2014-07-12,12,,,,,Unknown,Drowning,"Central, Mediterranean","Bodies, found, on, coast, near, Tripoli,, Libya","13.2042, 32.9511"
2014-07-13,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112, 31.62332"
2014-07-14,1,,,,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Cage, Ranch,, Brooks, County,, Texas,, USA","-98, 26.99000755"
2014-07-14,110,12,1,,,Unknown,Drowning,"Central, Mediterranean","40, miles, off, the, coast, of, Libya","15, 33.6564"
2014-07-15,20,60,,,,"Southern, Asia",Drowning,,"Off, the, southwest, coast, of, Malaysia","115, 6.35306"
2014-07-17,3,90,,,,Unknown,Drowning,"Central, Mediterranean","Just, off, the, coast, of, Garabulli,, Libya","14, 32.8343"
2014-07-17,41,61,,,,"Sub-Saharan, Africa, (P)",Drowning,"Central, Mediterranean","30, miles, off, the, coast, of, Tripoli,, Libya","13, 33.2423"
2014-07-17,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.00065, 32.03617"
2014-07-18,1,,,,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Cage, Ranch,, Brooks, County,, Texas,, USA","-98, 26.95573817"
2014-07-19,55,1,,,,Mixed,Drowning,"Central, Mediterranean","off, the, coast, of, Kafr, el-Sheikh, governorate,, Egypt","31, 31.5818"
2014-07-19,3,104,,,,Unknown,Drowning,"Central, Mediterranean","Off, the, Libyan, coast,, northeast, of, Tripoli","14, 33.4442"
2014-07-19,180,569,,,1,"Sub-Saharan, Africa, (P)","Drowning,Mixed, or, unknown","Central, Mediterranean","Between, Libya, and, Malta","14.2163, 34.5821"
2014-07-21,19,61,,,,Unknown,Drowning,"Central, Mediterranean","South, of, Sicily","14, 36.3557"
2014-07-24,1,,,1,,"Eastern, Africa","Vehicle, accident, /, death, linked, to, hazardous, transport","English, Channel, to, the, UK","Abandoned, airfield, outside, Downham, Market,, England,, UK","0, 50.9584"
2014-07-24,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.6385, 31.651"
2014-07-26,1,,,1,,"Latin, America, /, Caribbean, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.14252, 32.37387"
2014-07-27,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.533472, 32.532056"
2014-07-28,128,22,,,,"Sub-Saharan, Africa, (P)",Drowning,"Central, Mediterranean","60, miles, off, the, coast, of, Al, Khums,, Libya","14, 34.4666"
2014-07-30,1,,,1,1,"Central, America","Accidental, death","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-110.697817, 31.6488"
2014-07-30,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.05419, 32.83222"
2014-07-31,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.871417, 31.949573"
2014-07-31,1,,,,,Unknown,Violence,"Sahara, Desert, crossing","Unspecified, location,, Libya","11.855727, 26.163979"
2014-07-30,1,,,,,"Western, /, Southern, Asia, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water",,"Mountains,, Iran","48.122069, 37.414959"
2014-08-01,1,,,1,,"Latin, America, /, Caribbean, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Acatlan, de, Perez, Figueroa,, Oaxaca,, Mexico","-96.606006, 18.539117"
2014-08-01,1,,,1,,"Latin, America, /, Caribbean, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.4741, 32.26839"
2014-08-03,172,200,1,,1,"Western, Asia",Drowning,"Central, Mediterranean","50, miles, off, Libyan, coast","15.490763, 33.499179"
2014-08-04,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.56971, 32.04927"
2014-08-05,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.526, 32.54141"
2014-08-05,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.05333, 32.197083"
2014-08-05,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.997183, 31.685017"
2014-08-16,1,34,,1,,"Southern, Asia",Violence,"English, Channel, to, the, UK","Dead, body, found, shipping, container, in, Tilbury, docks,, Essex,, UK","0.345211, 51.4616"
2014-08-18,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.78028, 31.63525"
2014-08-21,1,,,1,,"Latin, America, /, Caribbean, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.461233, 31.489567"
2014-08-24,251,19,,,1,"Sub-Saharan, Africa, (P)",Drowning,"Central, Mediterranean","Off, shores, of, al-Qarbouli,, 50km, east, of, Tripoli","13.7659, 32.9212"
2014-08-23,26,73,,26,,Unknown,Drowning,"Central, Mediterranean","Central, Med, off, the, coast, of, Italy","15.8752, 35.2823"
2014-08-24,9,,,4,,Caribbean,Drowning,,"20, miles, east, of, Hollywood, Beach,, Florida","-80, 25.8709"
2014-08-24,24,364,,,,Unknown,Drowning,"Central, Mediterranean","Unspecified, location, between, North, Africa, and, Italy.","14.0625, 34.5671"
2014-08-22,1,,,,,Unknown,"Mixed, or, unknown","Central, Mediterranean","Unspecified, location, between, North, Africa, and, Italy., Body, brought, to, Calabria.","16.9189, 34.3134"
2014-08-25,1,19,1,,,Caribbean,Drowning,,"Hillsboro, Beach,, Florida","-80, 26.2937"
2014-08-22,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.12708, 32.03905"
2014-08-25,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.47552, 32.299867"
2014-08-28,23,,,,,Caribbean,Drowning,,"Mona, passage, trying, to, reach, Puerto, Rico","-67.8186, 18.3459"
2014-08-27,44,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Brooks, County,, Texas,, USA","-98.233616, 27.033656"
2014-08-31,17,15,1,1,1,Caribbean,"Mixed, or, unknown",,"Off, Mexican, coast","-86.2866, 23.6244"
2014-08-29,42,,8,,5,"Western, Asia",Drowning,"Central, Mediterranean","Tunisian, sea, near, maritime, border, with, Libya","12, 33.5111"
2014-08-31,100,,,,,Unknown,Drowning,"Central, Mediterranean","Off, the, shore, of, al-Qarbouli,, Libya","14, 32.8879"
2014-08-31,1,,,,,Unknown,Violence,"Sahara, Desert, crossing","Unspecified, location,, Libya","15, 27.922369"
2014-08-31,1,,,,,Unknown,"Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Sahara, Desert,, between, Agadez,, Niger, and, Tripoli,, Libya","11, 22.659193"
2014-08-31,1,,,,,Unknown,"Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Sahara, Desert, crossing","Sahara, Desert,, between, Khartoum,, Sudan, and, Bani, Walid,, Libya","27, 19.5197871"
2014-08-31,64,,,,,"Central, America","Mixed, or, unknown",,"Mexico, (likely)","-101.074, 19.1452"
2014-09-01,2,17,,,,Caribbean,Drowning,,"off, the, coast, of, the, Yucatan,, Mexico","-88.384764, 21.897364"
2014-09-03,1,0,,1,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.07349, 31.93067"
2014-09-06,1,0,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-109.549239, 31.33915"
2014-09-07,1,0,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.02776, 32.00936"
2014-09-08,1,,,1,,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Train, tracks, in, Izúcar, de, Matamoros,, Puebla,, Mexico","-98.463359, 18.600776"
2014-09-09,9,1,,,,"Eastern, Asia",Drowning,,"Off, the, coast, of, Southern, China, between, Zhuhai, and, Macao","114, 22.2344"
2014-09-10,1,0,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.163509, 32.35267"
2014-09-10,1,,,1,,"Central, America",Drowning,"US-Mexico, border, crossing","Canal, near, Bentsen-Rio, Grande, Valley, State, Park, in, Mission,, Texas,, USA","-98.3798819, 26.1850517"
2014-09-11,1,0,,1,,"Latin, America, /, Caribbean, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.33998, 32.6185"
2014-09-12,500,10,,,,Mixed,Drowning,"Central, Mediterranean","Unspecified, location, between, Libya, and, Italy","14.4141, 33.9069"
2014-09-12,18,12,,,1,Unknown,Drowning,"Central, Mediterranean","300, Miles, SE, of, Malta","16.106, 34.9853"
2014-09-12,1,0,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.051033, 31.76753"
2014-09-14,88,72,,,,"Western, Asia",Drowning,"Central, Mediterranean","Off, coast, of, Alexandria,, Egypt","29.6864, 31.5253"
2014-09-14,164,36,,,1,Unknown,Drowning,"Central, Mediterranean","Off, coast, of, Libya,, near, Tajoura","13.8702, 33.5048"
2014-09-21,43,55,,,,Unknown,Drowning,"Central, Mediterranean","Off, coast, of, Libya","16.9684, 33.6053"
2014-09-23,1,0,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.68045, 31.75811"
2014-09-24,1,,,1,1,"Western, Asia",Violence,"Syria, to, Turkey","Syria, -, Turkey, border,, at, Kobani, Tel, Shair","38, 36.89501978"
2014-09-24,2,,,2,1,"Western, Asia",Violence,"Syria, to, Turkey","Syria, -, Turkey, border,, at, Kobani, Tel, Shair","38, 36.89090973"
2014-09-25,1,0,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.02004, 32.15356"
2014-09-25,1,0,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.1603, 32.1823"
2014-09-26,1,0,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.9822, 31.763"
2014-10-01,8,,,1,,"Sub-Saharan, Africa, (P)",Drowning,"Western, Mediterranean","Strait, between, Morocco, and, Spain","-5.39635, 35.9858"
2014-10-02,64,,,,,"Eastern, Africa",Drowning,"Horn, of, Africa, to, Yemen, crossing","Gulf, of, Aden, (departed, from, Somalia)","49.4824, 12.7047"
2014-10-02,95,85,,,,"Sub-Saharan, Africa, (P)",Drowning,"Central, Mediterranean","Off, cost, of, Libya, (3, nautical, miles, off, Guarabouli)","14.6338, 33.5963"
2014-10-06,2,3,,,,Caribbean,Drowning,,"Unspecified, location, off, the, coast, of, Miami, Beach,, Florida","-79.8528, 25.7529"
2014-10-10,3,646,,,,Unknown,"Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Central, Mediterranean","Unspecified, location, in, the, Central, Mediterranean","15.4907, 35.898"
2014-07-10,1,,,1,,"Western, Asia",Drowning,"English, Channel, to, the, UK","Body, recovered, near, Lisa,, Norway, on, 02.01.2015","1.810620814, 50.9815873"
2014-07-10,1,,,1,,"Western, Asia",Drowning,"English, Channel, to, the, UK","Body, recovered, on, Texel,, Netherlands, on, 27.10.2014","1.826413661, 51.00534374"
2014-10-12,1,,,1,,"Latin, America, /, Caribbean, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Santa, Ana,, Sonora,, Mexico","-111.1196215, 30.5398333"
2014-10-14,4,,,4,,Unknown,Drowning,,"Thailand,, north, of, Phuket","98.2892, 9.00988"
2014-10-16,1,,,1,,"Eastern, Africa",Drowning,"Horn, of, Africa, to, Yemen, crossing","Between, Bosaso, and, Yemen, (Jalooba)","48.8232, 12.6082"
2014-10-17,1,,,1,,"Eastern, Africa",Drowning,"Horn, of, Africa, to, Yemen, crossing","Between, Bosaso, and, Yemen, (Bin, Sinaa)","48, 12.5331"
2014-10-17,1,,,1,,"Eastern, Africa",Drowning,"Horn, of, Africa, to, Yemen, crossing","Between, Bosaso, and, Yemen, (Bin, Sinaa)","48, 12.5331"
2014-10-17,1,,,1,,"Eastern, Africa",Drowning,"Horn, of, Africa, to, Yemen, crossing","Between, Bosaso, and, Yemen, (Bin, Sinaa)","48, 12.5331"
2014-10-17,1,,,1,,"Eastern, Africa",Drowning,"Horn, of, Africa, to, Yemen, crossing","Between, Bosaso, and, Yemen, (Bin, Sinaa)","48, 12.5331"
2014-10-17,1,,,1,,"Eastern, Africa",Drowning,"Horn, of, Africa, to, Yemen, crossing","Between, Bosaso, and, Yemen, (Hasihasah)","47.9224, 12.5331"
2014-10-17,1,,,1,,"Eastern, Africa",Drowning,"Horn, of, Africa, to, Yemen, crossing","Between, Bosaso, and, Yemen, (Harow)","47.9224, 12.5331"
2014-10-17,1,,,1,,"Eastern, Africa",Drowning,"Horn, of, Africa, to, Yemen, crossing","Between, Bosaso, and, Yemen, (Muwaisa’a)","47.9224, 12.5331"
2014-10-20,1,,1,0,1,"Eastern, Africa","Vehicle, accident, /, death, linked, to, hazardous, transport","English, Channel, to, the, UK","A16, Motorway,, Port, of, Calais,, France","1.85869, 50.951314"
2014-10-24,1,,,1,,"Northern, Africa","Vehicle, accident, /, death, linked, to, hazardous, transport","English, Channel, to, the, UK","Calais,, France","1.85869, 50.9513"
2014-10-27,2,11,,,,Caribbean,Drowning,,"24, miles, south, of, Miami,, Florida","-80.321, 24.5671"
2014-10-29,20,93,,,,Unknown,Drowning,"Central, Mediterranean","off, the, coast, of, Libya",
2014-10-31,41,,4,12,,"Central, America","Mixed, or, unknown",,"Various, locations, in, Mexico","-102.553, 23.6345"
2014-11-08,38,6,4,,11,"Southern, Asia",Drowning,"Syria, to, Turkey","Near, Rumeli, Feneri,, Turkey, at, confluence, Bosphorus, and, Black, Sea","29.112145, 41.2344374"
2014-11-08,4,5,,,1,"Southern, Asia",Drowning,"Eastern, Mediterranean","Aegean, Sea,, Westen, Turkey,, off, coast, of, Ayvalik","26.532, 39.279"
